Date,Price,Open_1,High_1,Low_1
"Dec 30, 2017",12531.5,14398.5,15109.8,13951.1
"Dec 31, 2017",13850.4,14392.1,14461.5,11962.1
"Jan 01, 2018",13444.9,12532.4,14241.8,12359.4
"Jan 02, 2018",14754.1,13850.5,13921.5,12877.7
"Jan 03, 2018",15156.6,13444.9,15306.1,12934.2
"Jan 04, 2018",15180.1,14754.1,15435,14579.7
"Jan 05, 2018",16954.8,15156.5,15408.7,14244.7
"Jan 06, 2018",17172.3,15180.1,17126.9,14832.4
"Jan 07, 2018",16228.2,16954.8,17252.8,16286.6
"Jan 08, 2018",14976.2,17174.5,17184.8,15791.1
"Jan 09, 2018",14778.5,16228.3,16302.9,13902.3
"Jan 10, 2018",15043,14976.2,15324.6,14613.4
"Jan 11, 2018",13535.4,14778.5,15045.4,13613.1
"Jan 12, 2018",13886.7,15046.7,15109.1,13048.3
"Jan 13, 2018",14292.2,13529.2,14176.4,13410
"Jan 14, 2018",13695.2,13896,14640.7,13888.2
"Jan 15, 2018",13697.5,14291.9,14446.1,13094.7
"Jan 16, 2018",11362,13695.5,14396.6,13475.4
"Jan 17, 2018",11192.3,13704.4,13711,10050.7
"Jan 18, 2018",11245.4,11357.7,11769.6,9271.3
"Jan 19, 2018",11580.2,11202,12004.7,10660.2
"Jan 20, 2018",12858.9,11229.6,11973.2,10901.5
"Jan 21, 2018",11594.9,11579.2,13082.2,11567.3
"Jan 22, 2018",10864.8,12857.1,12860.2,11164.5
"Jan 23, 2018",10903.2,11597.5,11970.9,10136.8
"Jan 24, 2018",11452.3,10869,11438,10056.6
"Jan 25, 2018",11203,10899.4,11549.5,10584.5
"Jan 26, 2018",11118.1,11439.9,11740.9,10983.8
"Jan 27, 2018",11467.5,11203.1,11655.3,10389.4
"Jan 28, 2018",11795.1,11118,11621.7,10908.4
"Jan 29, 2018",11244.8,11471.2,12112.7,11433.3
"Jan 30, 2018",10166,11794.9,11888.1,11119
"Jan 31, 2018",10265.4,11244.5,11277.2,9917.7
"Feb 01, 2018",9181.1,10166.3,10397.7,9742.2
"Feb 02, 2018",8893.2,10266.2,10303,8789.2
"Feb 03, 2018",9241.1,9179.8,9201.4,7915.8
"Feb 04, 2018",8222.2,8894.4,9506.9,8249.3
"Feb 05, 2018",6938.5,9241.5,9382.1,7932.1
